time,ticker,open,close,high,low,volume
2024-10-01T00:00:00Z,AAPL,220.50,222.30,223.50,220.00,52000000
2024-10-02T00:00:00Z,AAPL,222.50,221.80,223.20,221.20,48000000
2024-10-03T00:00:00Z,AAPL,221.90,224.10,224.80,221.50,55000000
2024-10-04T00:00:00Z,AAPL,224.20,223.50,225.00,223.00,51000000
2024-10-07T00:00:00Z,AAPL,223.60,225.80,226.50,223.40,58000000
2024-10-08T00:00:00Z,AAPL,225.90,224.70,226.80,224.20,49000000
2024-10-09T00:00:00Z,AAPL,224.80,226.50,227.30,224.50,53000000
2024-10-10T00:00:00Z,AAPL,226.60,227.90,228.50,226.20,56000000
2024-10-11T00:00:00Z,AAPL,228.00,227.30,229.00,227.00,54000000
2024-10-14T00:00:00Z,AAPL,227.50,228.80,229.60,227.20,57000000
2024-10-15T00:00:00Z,AAPL,228.90,229.50,230.20,228.50,59000000
